,,,,12.3,23.7,3.8
0.27,0.44,0.52,0.61,,,
63.3,12.2,0.6,0.2,,,
60.4,33.6,5.3,0.7,,,
,,,,,,
,,,,20.9,3.7,2.9
0.11,0.27,0.42,0.64,,,
27.1,54.8,14,0.4,,,
38.3,42.4,16.5,2.8,,,
,,,,,,
,,,,24.1,0,0
0.02,0.11,0.27,0.44,,,
0.8,30.1,55.4,13.7,,,
19.6,34.6,32.6,13.2,,,
,,,,,,
,,,,21.9,1.5,0
0.05,0.09,0.13,0.27,,,
2.6,9.6,27.2,59.1,,,
19.8,24.3,31.2,24.8,,,
,,,,,,
,,,,9.1,40.8,-
0.35,0.45,0.55,0.65,,,
52.9,6.2,0.1,0,,,
68.3,27.1,4.3,0.3,,,
,,,,,,
,,,,6.5,61.8,-
0.45,0.55,0.65,0.75,,,
37.4,0.8,0,0,,,
80.6,18.1,1.3,0,,,
,,,,,,
