,,,,13.1,25.1,4.5
0.27,0.44,0.52,0.61,,,
61.8,12.5,0.6,0,,,
62.8,31.7,5,0.6,,,
,,,,,,
,,,,21.4,4.2,2.8
0.11,0.27,0.42,0.64,,,
25.4,56.4,13.5,0.5,,,
38.7,42.2,16.4,2.7,,,
,,,,,,
,,,,24.8,0,0
0.02,0.11,0.27,0.44,,,
1.2,28.3,57.1,13.4,,,
19,33.9,32.9,14.2,,,
,,,,,,
,,,,23.9,0.8,0
0.05,0.09,0.13,0.27,,,
2.4,10.4,27.9,58.5,,,
18.6,23.2,30.2,27.9,,,
,,,,,,
,,,,10,41.4,-
0.35,0.45,0.55,0.65,,,
53.5,5,0.1,0,,,
71.7,24.6,3.5,0.2,,,
,,,,,,
,,,,7.1,64.5,-
0.45,0.55,0.65,0.75,,,
35,0.5,0,0,,,
82.7,16.2,1.1,0,,,
,,,,,,
