"","Dose 1","Dose 2","Dose 3","Dose 4","Number of Patients","% Early Stopping"
"Scenario 1","","","","","",""
"True DLT rate","0.27","0.44","0.52","0.61","",""
"Selection %","68.4","13.9","1.5","0.2","","16"
"% Pts treated","75.9","20.3","3.3","0.5","27",""
"Scenario 2","","","","","",""
"True DLT rate","0.11","0.27","0.42","0.64","",""
"Selection %","17.8","61.4","19.6","0.8","","0.4"
"% Pts treated","38.8","43.2","15.8","2.1","29.9",""
"Scenario 3","","","","","",""
"True DLT rate","0.02","0.11","0.27","0.44","",""
"Selection %","0.3","20.1","62.7","16.9","","0"
"% Pts treated","15.9","34.7","36.2","13.2","30",""
"Scenario 4","","","","","",""
"True DLT rate","0.05","0.09","0.13","0.27","",""
"Selection %","0.3","4.1","27.2","68.4","","0"
"% Pts treated","16.1","21.1","29.7","33.2","30",""
"Scenario 5","","","","","",""
"True DLT rate","0.35","0.45","0.55","0.65","",""
"Selection %","51.4","7.2","0.3","0","","41.1"
"% Pts treated","82.2","15.1","2.5","0.1","23",""
"Scenario 6","","","","","",""
"True DLT rate","0.45","0.55","0.65","0.75","",""
"Selection %","22.9","0.7","0","0","","76.4"
"% Pts treated","91.3","8","0.6","0.1","15.8",""
