"","Dose 1","Dose 2","Dose 3","Dose 4","Number of Patients","% Early Stopping"
"Scenario 1","","","","","",""
"True DLT rate","0.27","0.44","0.52","0.61","",""
"Selection %","63.3","12.2","0.6","0.2","","23.7"
"% Pts treated","60.4","33.6","5.4","0.6","12.3",""
"Scenario 2","","","","","",""
"True DLT rate","0.11","0.27","0.42","0.64","",""
"Selection %","27.1","54.8","14","0.4","","3.7"
"% Pts treated","38.3","42.4","16.6","2.8","20.9",""
"Scenario 3","","","","","",""
"True DLT rate","0.02","0.11","0.27","0.44","",""
"Selection %","0.8","30.1","55.4","13.7","","0"
"% Pts treated","19.5","34.6","32.6","13.2","24",""
"Scenario 4","","","","","",""
"True DLT rate","0.05","0.09","0.13","0.27","",""
"Selection %","2.6","9.6","27.2","59.1","","1.5"
"% Pts treated","19.8","24.3","31.2","24.7","21.9",""
"Scenario 5","","","","","",""
"True DLT rate","0.35","0.45","0.55","0.65","",""
"Selection %","52.9","6.2","0.1","0","","40.8"
"% Pts treated","68.4","27.1","4.3","0.2","9.1",""
"Scenario 6","","","","","",""
"True DLT rate","0.45","0.55","0.65","0.75","",""
"Selection %","37.4","0.8","0","0","","61.8"
"% Pts treated","80.6","18.2","1.2","0","6.5",""
