"","Dose 1","Dose 2","Dose 3","Dose 4","Number of Patients","% Early Stopping"
"Scenario 1","","","","","",""
"True DLT rate","0.27","0.44","0.52","0.61","",""
"Selection %","61.8","12.5","0.6","0","","25.1"
"% Pts treated","62.8","31.7","5","0.5","13.1",""
"Scenario 2","","","","","",""
"True DLT rate","0.11","0.27","0.42","0.64","",""
"Selection %","25.4","56.4","13.5","0.5","","4.2"
"% Pts treated","38.7","42.1","16.4","2.7","21.4",""
"Scenario 3","","","","","",""
"True DLT rate","0.02","0.11","0.27","0.44","",""
"Selection %","1.2","28.3","57.1","13.4","","0"
"% Pts treated","19","34","32.9","14.2","24.8",""
"Scenario 4","","","","","",""
"True DLT rate","0.05","0.09","0.13","0.27","",""
"Selection %","2.4","10.4","27.9","58.5","","0.8"
"% Pts treated","18.6","23.2","30.2","27.9","23.9",""
"Scenario 5","","","","","",""
"True DLT rate","0.35","0.45","0.55","0.65","",""
"Selection %","53.5","5","0.1","0","","41.4"
"% Pts treated","71.7","24.6","3.5","0.2","10",""
"Scenario 6","","","","","",""
"True DLT rate","0.45","0.55","0.65","0.75","",""
"Selection %","35","0.5","0","0","","64.5"
"% Pts treated","82.7","16.2","1.1","0","7.1",""
